dim: 128 x 40 x 71
axis=2 slice=16

5.817	5.636	5.466	5.308	5.166	5.045	4.951	4.887	4.860	4.738	4.581	4.433	4.293	4.165	4.048	3.946	3.859	3.788	3.736	3.703	3.690	3.697	3.725	3.772	3.837	3.920	4.018	4.131	4.256	4.393	4.539	4.636	4.668	4.735	4.833	4.957	5.101	5.246	5.400	5.554	5.714	5.858	5.686	5.524	5.348	5.181	5.018	4.843	4.685	4.513	4.346	4.198	4.014	3.884	3.700	3.556	3.389	3.222	3.062	2.911	2.750	2.599	2.447	2.296	2.154	2.004	1.868	1.725	1.594	1.461	1.339	1.217	1.109	1.000	0.913	0.820	0.750	0.698	0.647	0.612	0.595	0.593	0.602	0.617	0.646	0.688	0.743	0.810	0.877	0.953	1.038	1.133	1.229	1.329	1.436	1.549	1.658	1.774	1.896	2.015	2.137	2.263	2.389	2.515	2.643	2.773	2.900	3.037	3.176	3.323	3.441	3.571	3.707	3.827	3.944	4.066	4.187	4.305	4.420	4.529	4.631	4.725	4.820	4.941	5.083	5.240	5.411	5.591	
5.817	5.636	5.466	5.308	5.166	5.045	4.951	4.887	4.860	4.738	4.581	4.433	4.293	4.165	4.048	3.946	3.859	3.788	3.736	3.703	3.690	3.697	3.725	3.772	3.837	3.920	4.018	4.131	4.256	4.393	4.539	4.636	4.668	4.735	4.833	4.957	5.101	5.246	5.400	5.554	5.714	5.858	5.686	5.524	5.348	5.181	5.018	4.843	4.685	4.513	4.346	4.198	4.014	3.884	3.700	3.556	3.389	3.222	3.062	2.911	2.750	2.599	2.447	2.296	2.154	2.004	1.868	1.725	1.594	1.461	1.339	1.217	1.109	1.000	0.913	0.820	0.750	0.698	0.647	0.612	0.595	0.593	0.602	0.617	0.646	0.688	0.743	0.810	0.877	0.953	1.038	1.133	1.229	1.329	1.436	1.549	1.658	1.774	1.896	2.015	2.137	2.263	2.389	2.515	2.643	2.773	2.900	3.037	3.176	3.323	3.441	3.571	3.707	3.827	3.944	4.066	4.187	4.305	4.420	4.529	4.631	4.725	4.820	4.941	5.083	5.240	5.411	5.591	
5.817	5.636	5.466	5.308	5.166	5.045	4.951	4.887	4.860	4.738	4.581	4.433	4.293	4.165	4.048	3.946	3.859	3.788	3.736	3.703	3.690	3.697	3.725	3.772	3.837	3.920	4.018	4.131	4.256	4.393	4.539	4.636	4.668	4.735	4.833	4.957	5.101	5.246	5.400	5.554	5.714	5.858	5.686	5.524	5.348	5.181	5.018	4.843	4.685	4.513	4.346	4.198	4.014	3.884	3.700	3.556	3.389	3.222	3.062	2.911	2.750	2.599	2.447	2.296	2.154	2.004	1.868	1.725	1.594	1.461	1.339	1.217	1.109	1.000	0.913	0.820	0.750	0.698	0.647	0.612	0.595	0.593	0.602	0.617	0.646	0.688	0.743	0.810	0.877	0.953	1.038	1.133	1.229	1.329	1.436	1.549	1.658	1.774	1.896	2.015	2.137	2.263	2.389	2.515	2.643	2.773	2.900	3.037	3.176	3.323	3.441	3.571	3.707	3.827	3.944	4.066	4.187	4.305	4.420	4.529	4.631	4.725	4.820	4.941	5.083	5.240	5.411	5.591	
5.817	5.636	5.466	5.308	5.166	5.045	4.951	4.887	4.860	4.738	4.581	4.433	4.293	4.165	4.048	3.946	3.859	3.788	3.736	3.703	3.690	3.697	3.725	3.772	3.837	3.920	4.018	4.131	4.256	4.393	4.539	4.636	4.668	4.735	4.833	4.957	5.101	5.246	5.400	5.554	5.714	5.858	5.686	5.524	5.348	5.181	5.018	4.843	4.685	4.513	4.346	4.198	4.014	3.884	3.700	3.556	3.389	3.222	3.062	2.911	2.750	2.599	2.447	2.296	2.154	2.004	1.868	1.725	1.594	1.461	1.339	1.217	1.109	1.000	0.913	0.820	0.750	0.698	0.647	0.612	0.595	0.593	0.602	0.617	0.646	0.688	0.743	0.810	0.877	0.953	1.038	1.133	1.229	1.329	1.436	1.549	1.658	1.774	1.896	2.015	2.137	2.263	2.389	2.515	2.643	2.773	2.900	3.037	3.176	3.323	3.441	3.571	3.707	3.827	3.944	4.066	4.187	4.305	4.420	4.529	4.631	4.725	4.820	4.941	5.083	5.240	5.411	5.591	
5.793	5.612	5.442	5.284	5.142	5.022	4.927	4.864	4.836	4.716	4.563	4.418	4.283	4.160	4.048	3.946	3.859	3.788	3.736	3.703	3.690	3.697	3.725	3.772	3.837	3.920	4.018	4.128	4.248	4.379	4.521	4.616	4.648	4.715	4.813	4.937	5.081	5.226	5.380	5.534	5.694	5.834	5.662	5.500	5.324	5.157	4.994	4.819	4.661	4.489	4.322	4.174	3.990	3.860	3.676	3.533	3.367	3.203	3.046	2.897	2.739	2.592	2.443	2.295	2.154	2.004	1.868	1.725	1.594	1.461	1.339	1.217	1.109	1.000	0.913	0.820	0.750	0.698	0.647	0.612	0.595	0.593	0.602	0.617	0.646	0.688	0.743	0.810	0.877	0.953	1.038	1.133	1.229	1.329	1.436	1.549	1.658	1.774	1.896	2.015	2.137	2.263	2.389	2.514	2.642	2.766	2.891	3.023	3.162	3.305	3.421	3.551	3.687	3.807	3.924	4.046	4.167	4.285	4.400	4.509	4.611	4.705	4.800	4.921	5.063	5.220	5.391	5.571	
5.762	5.582	5.411	5.253	5.112	4.991	4.896	4.833	4.805	4.685	4.530	4.383	4.248	4.124	4.012	3.916	3.837	3.775	3.731	3.703	3.690	3.697	3.723	3.761	3.818	3.892	3.984	4.091	4.212	4.344	4.488	4.584	4.615	4.683	4.781	4.904	5.048	5.193	5.348	5.502	5.661	5.803	5.631	5.470	5.294	5.126	4.964	4.788	4.630	4.458	4.291	4.143	3.960	3.829	3.645	3.502	3.335	3.169	3.011	2.861	2.701	2.553	2.401	2.253	2.112	1.966	1.835	1.692	1.569	1.436	1.323	1.202	1.104	0.998	0.912	0.820	0.750	0.698	0.647	0.612	0.595	0.593	0.602	0.617	0.646	0.688	0.743	0.810	0.877	0.953	1.038	1.128	1.217	1.314	1.420	1.524	1.633	1.748	1.865	1.982	2.104	2.227	2.349	2.475	2.604	2.728	2.855	2.988	3.127	3.271	3.388	3.518	3.654	3.774	3.892	4.013	4.134	4.253	4.367	4.476	4.578	4.673	4.768	4.889	5.030	5.188	5.358	5.539	
5.608	5.428	5.257	5.099	4.958	4.837	4.742	4.679	4.652	4.619	4.504	4.359	4.224	4.100	3.989	3.894	3.815	3.754	3.711	3.689	3.683	3.686	3.703	3.740	3.796	3.870	3.961	4.068	4.188	4.320	4.463	4.557	4.589	4.656	4.754	4.878	5.022	5.167	5.321	5.475	5.635	5.649	5.477	5.316	5.140	4.972	4.810	4.634	4.476	4.304	4.137	3.989	3.806	3.676	3.492	3.377	3.199	3.054	2.941	2.834	2.676	2.527	2.374	2.226	2.083	1.937	1.804	1.660	1.536	1.400	1.286	1.161	1.060	0.952	0.863	0.789	0.718	0.668	0.635	0.605	0.587	0.585	0.588	0.602	0.631	0.672	0.718	0.772	0.837	0.914	1.000	1.085	1.177	1.277	1.385	1.491	1.601	1.718	1.835	1.953	2.076	2.201	2.323	2.450	2.579	2.704	2.831	2.964	3.103	3.246	3.362	3.492	3.628	3.748	3.866	3.987	4.108	4.226	4.341	4.450	4.552	4.647	4.741	4.862	5.004	5.162	5.332	5.512	
5.448	5.268	5.097	4.939	4.798	4.677	4.582	4.519	4.492	4.458	4.427	4.337	4.202	4.079	3.969	3.875	3.799	3.741	3.703	3.682	3.677	3.678	3.697	3.728	3.781	3.852	3.941	4.046	4.166	4.298	4.399	4.445	4.477	4.544	4.643	4.766	4.910	5.055	5.209	5.363	5.523	5.489	5.317	5.156	4.980	4.812	4.650	4.474	4.316	4.145	3.977	3.829	3.646	3.516	3.332	3.216	3.033	2.884	2.762	2.668	2.587	2.489	2.350	2.202	2.058	1.913	1.779	1.637	1.513	1.377	1.264	1.139	1.037	0.932	0.842	0.775	0.702	0.651	0.617	0.594	0.577	0.575	0.577	0.591	0.619	0.656	0.698	0.753	0.819	0.896	0.981	1.064	1.157	1.258	1.364	1.468	1.579	1.697	1.812	1.930	2.054	2.177	2.300	2.427	2.554	2.655	2.773	2.899	3.029	3.163	3.250	3.380	3.516	3.636	3.754	3.875	3.996	4.115	4.229	4.338	4.440	4.535	4.629	4.750	4.892	5.050	5.220	5.400	
5.297	5.117	4.946	4.788	4.647	4.526	4.431	4.368	4.341	4.305	4.272	4.257	4.194	4.071	3.961	3.867	3.790	3.733	3.697	3.682	3.678	3.679	3.691	3.721	3.772	3.843	3.933	4.038	4.158	4.232	4.295	4.338	4.370	4.437	4.535	4.659	4.802	4.948	5.102	5.256	5.415	5.338	5.166	5.005	4.829	4.661	4.499	4.323	4.165	3.993	3.826	3.678	3.495	3.364	3.180	3.064	2.875	2.718	2.591	2.489	2.404	2.303	2.218	2.152	2.049	1.902	1.768	1.624	1.500	1.363	1.250	1.125	1.021	0.919	0.827	0.760	0.693	0.642	0.608	0.590	0.582	0.580	0.581	0.594	0.615	0.644	0.687	0.741	0.808	0.885	0.966	1.050	1.143	1.245	1.350	1.455	1.567	1.685	1.800	1.919	2.043	2.137	2.225	2.321	2.423	2.528	2.651	2.782	2.917	3.054	3.143	3.272	3.409	3.528	3.646	3.767	3.888	4.007	4.121	4.230	4.333	4.427	4.522	4.643	4.784	4.942	5.113	5.293	
5.153	4.973	4.802	4.644	4.503	4.382	4.287	4.224	4.197	4.159	4.125	4.109	4.108	4.081	3.972	3.878	3.802	3.745	3.709	3.695	3.694	3.694	3.703	3.733	3.784	3.855	3.944	4.043	4.090	4.143	4.197	4.237	4.269	4.336	4.434	4.558	4.702	4.847	5.001	5.155	5.315	5.194	5.022	4.861	4.685	4.517	4.355	4.179	4.021	3.849	3.682	3.534	3.351	3.220	3.036	2.920	2.727	2.562	2.427	2.318	2.226	2.121	2.032	1.959	1.905	1.848	1.785	1.642	1.520	1.385	1.273	1.151	1.049	0.951	0.862	0.798	0.734	0.686	0.654	0.638	0.630	0.629	0.629	0.642	0.661	0.688	0.728	0.780	0.844	0.918	0.996	1.078	1.169	1.268	1.372	1.475	1.579	1.660	1.744	1.827	1.914	2.000	2.093	2.193	2.300	2.411	2.539	2.674	2.813	2.955	3.042	3.172	3.308	3.428	3.546	3.667	3.788	3.907	4.021	4.130	4.232	4.327	4.421	4.542	4.684	4.842	5.012	5.192	
